GEOID,exc_jobs,exc_hospitals,exc_groceries,exc_schools,composite_deficit,disadvantage_z,posterior_mean_jobs,composite_rank
06073017039,0.0,0.0,0.0,1.0,0.25,-0.2949077523529294,16530.260825102006,256
06073017036,0.0,0.0,1.0,0.0,0.25,-0.414044510446814,5807.146658714206,257
06073014002,0.0,1.0,0.0,0.0,0.25,0.4445408932407501,10497.68749488421,258
06073014001,0.0,1.0,0.0,0.0,0.25,0.3460734112574626,9094.577505463127,259
06073013907,0.0,1.0,0.0,0.0,0.25,0.759057382672684,4213.841935199491,260
06073015200,0.0,0.0,0.0,1.0,0.25,-0.7550886123723348,11294.647245746353,261
06073014400,0.0,1.0,0.0,0.0,0.25,1.2870415559639583,14323.26654090754,262
06073013424,0.0,0.0,1.0,0.0,0.25,-0.7768484882870424,8294.77948833621,263
06073014200,0.0,1.0,0.0,0.0,0.25,-0.0409172061192856,8411.15236997298,264
06073009705,0.0,0.0,0.0,1.0,0.25,-0.5951862997711812,3501.952543108947,265
06073009204,0.0,0.0,1.0,0.0,0.25,-0.7801220850507806,8682.804875710848,266
06073009305,0.0,0.0,1.0,0.0,0.25,-0.2486707623881735,9341.263905027809,267
06073010004,0.0,1.0,0.0,0.0,0.25,-0.0891150675051168,4336.98168343389,268
06073009203,0.0,0.0,1.0,0.0,0.25,-0.1106674615150101,35868.07374905256,269
06073010012,0.0,1.0,0.0,0.0,0.25,0.5488821703308058,7862.267791281713,270
06073010005,0.0,1.0,0.0,0.0,0.25,1.7482325491284785,5634.988095197107,271
06073014101,0.0,1.0,0.0,0.0,0.25,-0.0920898069681972,7910.196262993198,272
06073014102,0.0,1.0,0.0,0.0,0.25,0.1603952856387773,4275.507668962602,273
06073014300,0.0,1.0,0.0,0.0,0.25,0.2171949037373778,8567.591612918557,274
06073013908,0.0,1.0,0.0,0.0,0.25,0.2512046223520925,4492.789133982323,275
06073013906,0.0,1.0,0.0,0.0,0.25,0.9907194372059428,5110.809052270893,276
06073013905,0.0,0.0,0.0,1.0,0.25,-0.5517812985017226,4621.738922235111,277
06073013702,0.0,1.0,0.0,0.0,0.25,-0.0094160918945048,10428.439139715947,278
06073013701,0.0,1.0,0.0,0.0,0.25,0.2254371234249152,6404.808083977494,279
06073013608,0.0,0.0,1.0,0.0,0.25,1.301076935118725,3730.390858427782,280
06073013607,0.0,0.0,0.0,1.0,0.25,-0.0185375208672137,4021.564863564493,281
06073009602,0.0,0.0,0.0,1.0,0.25,-0.6513028789841887,12338.856169715553,282
06073010106,0.0,1.0,0.0,0.0,0.25,1.4659128319758503,8129.29322321277,283
06073013802,0.0,1.0,0.0,0.0,0.25,0.2681715865296701,8761.69565154858,284
06073013801,0.0,1.0,0.0,0.0,0.25,0.8484483295513486,10312.492639921973,285
06073011300,0.0,0.0,1.0,0.0,0.25,-0.8783145859473563,5193.065434397721,286
06073004200,0.0,1.0,0.0,0.0,0.25,-0.5784425486832281,8936.517371740725,287
06073013414,0.0,0.0,1.0,0.0,0.25,-0.3703409510184549,10645.22299073284,288
06073013415,0.0,0.0,1.0,0.0,0.25,-0.7586068985789111,7125.555160655285,289
06073013325,0.0,0.0,1.0,0.0,0.25,0.3590157259526856,6327.449341297527,290
06073013326,0.0,0.0,1.0,0.0,0.25,-1.0578123052297332,9029.825908679179,291
06073011000,0.0,0.0,1.0,0.0,0.25,-0.2969312095542413,5836.815758082205,292
