GEOID,pareto_k
06073005103,1.3094252300361007
06073005201,1.1257826815695968
06073005202,1.0959048714381892
06073005301,1.0081784601214476
06073005302,1.216273745278925
06073005401,0.9990952797440779
06073005402,1.4351365777576452
06073005403,1.182185195794967
06073005500,2.378178030762831
06073005601,1.2411295161885374
06073005602,2.110327252238009
06073005700,0.9375637980251946
06073005801,1.1780660683590274
06073005802,1.4098762205900086
06073005900,0.9031588118182432
06073006000,1.3379089151769286
06073006100,1.7654312761747653
06073006200,3.780856375736995
06073006300,1.228947883955592
06073006500,1.1429920010844334
06073006600,1.037317151523468
06073006801,1.132915087543146
06073006802,1.1856636197285106
06073006900,1.6026860698597052
06073007002,1.312017812377541
06073007100,0.9620348037605562
06073007200,1.0162490993074715
06073007302,1.296825272059438
06073007303,1.2829124394161655
06073007304,1.2883741954650603
06073007401,0.8762640819769457
06073007402,1.0238069995370909
06073007501,1.3897715814775309
06073007502,1.3827096567830017
06073007601,0.9803384532268421
06073007602,1.1679886704293476
06073007701,1.110252217966769
06073007702,1.2082882011871505
06073007800,0.9992116055862146
06073007905,1.1631496613749335
06073007907,1.056001516718192
06073007908,1.03163687202582
06073007910,0.9183874028761775
06073007911,1.4804456567361395
06073007912,1.1411199035203021
06073008002,1.0390313621479965
06073008003,1.1275280680464779
06073008006,1.356901192593716
06073008101,0.9353396197229223
06073008102,1.1382459863686114
06073008201,1.0088659436181726
06073008202,1.2209372402737104
06073008301,1.066538013704417
06073008303,0.9632221283393005
06073008305,1.3263147545013028
06073008306,0.9928864108074531
06073008307,1.2418682886508448
06073008310,0.9798282938203221
06073008311,1.1339525518858649
06073008312,1.5809582219422162
06073008313,1.6600864785386649
06073008324,0.9185315656482241
06073008327,1.3813278234789221
06073008328,1.094327095712406
06073008330,1.1222882587381218
06073008331,1.0997972756538341
06073008336,1.20226229717824
06073008337,0.9885718203328421
06073008339,1.4560722851256511
06073008343,1.2737218694444221
06073008344,1.1151130286150517
06073008345,1.454842186438529
06073008346,2.1673045874428194
06073008347,1.3393586648160176
06073008348,1.2958940297882877
06073008349,1.074351473032075
06073008350,1.7882820827880828
06073008351,1.5019468505233617
06073008352,1.0079701773343612
06073008353,0.9639017163630073
06073008355,1.3693372611688497
06073008356,1.1972455469883332
06073008357,1.1037550577475637
06073008358,1.1181617442244007
06073008359,0.9754627282350877
06073008360,0.9566222031370603
06073008361,1.1076715525303955
06073008362,1.0337413786108436
06073008363,1.1941000528516725
06073008364,1.1467255716703133
06073008365,1.243927578662342
06073008366,0.9964602915532915
06073008367,1.0662564428909325
06073008368,0.7984836151636491
06073008369,1.1891895602956228
06073008370,1.199261674790591
06073008371,1.751867847753124
06073008372,1.3854426883416895
06073008373,1.3515284618913685
06073008374,1.586399862144327
06073008375,1.05479760126046
06073008376,1.1147051972462672
06073008377,1.3105252407580212
06073008378,1.0626392721786875
06073008379,1.0954314319299625
06073008380,1.0945265831178472
06073008381,1.3182444714775259
06073008501,0.8207106191491393
06073008502,0.928806983248965
06073008503,0.9749835782504037
06073008504,0.8888900764121908
06073008505,0.9062139104273575
06073008506,1.01154303933621
06073008507,0.9221370926429773
06073008509,1.0686062808722423
06073008510,1.3184392445833528
06073008511,2.2586219854438996
06073008512,1.1137802266618206
06073008513,1.0276658925384852
06073008600,1.246941620290098
06073008701,1.0807145025479157
06073008702,1.1871106347510934
06073008800,1.1239221098310341
06073008901,1.3525115835157433
06073008902,1.3144027313855322
06073009000,1.2622493433265476
06073009101,1.145692406430655
06073009102,1.2599983365164475
06073009103,1.1816679475667526
06073009104,1.0904213474068012
06073009107,1.131017906112586
06073009108,1.4836125301686203
06073009109,1.2390688589605765
06073009201,1.098941591797209
06073009203,0.9931719652946981
06073009204,1.0629602965979867
06073009301,1.033420445812549
06073009305,1.2809383612491396
06073009306,0.9671245354280738
06073009307,1.53205220399305
06073009308,1.1654807926433437
06073009400,0.9685146279274235
06073009502,1.7795215916677505
06073009505,1.2296851990208468
06073009506,1.2838774839328368
06073009507,1.2951009725776677
06073009509,0.9584521780524701
06073009510,1.2971735608310864
06073009511,0.9788613962499095
06073009602,0.9954331747905009
06073009603,1.1170137137602105
06073009604,1.097564926862602
06073009703,0.9193383528321727
06073009704,1.0707494383216265
06073009705,1.0534601489257756
06073009706,0.9937471660052675
06073009801,1.0020188401089793
06073009802,1.1083916247156078
06073009804,1.1277337805871124
06073009805,1.4052715058515848
06073009901,1.3402559648495562
06073009902,1.945790929476795
06073010001,1.1245156919374693
06073010003,1.3373185273638226
06073010004,1.116510454466613
06073010005,1.3612761238144058
06073010009,1.1108645374780666
06073010010,1.0843280686723626
06073010011,1.2189155154639972
06073010012,1.323767198611598
06073010013,0.9342451499365219
06073010015,1.0739079556853444
06073010016,1.120602403301547
06073010017,1.8662824964298503
06073010018,1.1951607093397734
06073010019,1.426251913033471
06073010103,1.0768743103492207
06073010104,1.1806747476413246
06073010106,1.295173361933615
06073010107,1.1541296853265621
06073010109,1.0177456059407681
06073010110,1.0830061701034126
06073010111,1.0411232638412395
06073010112,1.205256272352064
06073010201,1.2890482949696005
06073010202,1.0378564753838073
06073010300,1.1915248537727343
06073010401,1.2288665220000057
06073010402,1.0461576232353293
06073010501,1.0799810462118953
06073010502,1.0947485874015026
06073010601,1.512014070803208
06073010800,0.9249581949554299
06073010900,0.9701027811866105
06073011000,1.201557599440815
06073011100,1.2791759928308157
06073011300,1.3104953149853478
