GEOID,Jobs (LODES)_desert,Hospitals_desert,Groceries_desert,Schools_desert,n_deserts,multi_desert,disadvantage_z,posterior_mean_jobs
06073004102,False,False,False,False,0,False,1.7116450178903018,76784.29276022321
06073004200,False,True,False,False,1,False,-0.5784425486832281,8936.517371740725
06073004300,False,False,False,False,0,False,0.0215316524009573,16697.310366135618
06073004400,False,False,False,False,0,False,0.0991795172687325,34083.44740174439
06073004501,False,False,False,False,0,False,0.9296086487306192,79391.17688675341
06073004600,False,False,False,False,0,False,1.2945161415991076,82165.015113365
06073004700,False,False,False,False,0,False,0.8102122270275013,74144.36346601672
06073004800,False,False,False,False,0,False,1.4562924847475731,69230.42500624154
06073004900,False,False,False,False,0,False,1.834358202692828,40504.84167104544
06073005000,False,False,False,False,0,False,2.074624781102489,56748.8186289002
06073005101,False,False,False,False,0,False,1.977559719051885,76119.54706555707
06073005102,False,False,False,False,0,False,2.233357669408602,81851.52500137361
06073005103,False,False,False,False,0,False,3.358170441189166,63514.29734015638
06073005201,False,False,False,False,0,False,1.1855968353353543,83241.464930948
06073005202,False,False,False,False,0,False,3.52175972061918,84137.50624968714
06073005301,False,False,False,False,0,False,2.7564022945738373,88757.31537145027
06073005302,False,False,False,False,0,False,0.8531465466292896,84920.95339621551
06073005401,False,False,False,False,0,False,0.3193726423034097,78852.0309087366
06073005402,False,False,False,False,0,False,0.5740679897650426,75626.39473414797
06073005403,False,False,False,False,0,False,0.1132181563931149,79040.72155827376
06073005500,False,False,False,False,0,False,-0.5236682336308077,75664.56980591112
06073005601,False,False,False,False,0,False,4.320491586180137,79910.9358294126
06073005602,False,False,False,False,0,False,0.3171944362750259,83610.77590504466
06073005700,False,False,False,False,0,False,2.4991042330673023,96801.24381356814
06073005801,False,False,False,False,0,False,1.6825504298244145,100234.05250565085
06073005802,False,False,False,False,0,False,-0.3354503719648814,81975.01286504907
06073005900,False,False,False,False,0,False,1.672434636401963,95628.76448691043
06073006000,False,False,False,False,0,False,0.8926099928568458,94237.88329591313
06073006100,False,False,False,False,0,False,0.0540439718719686,98471.23062920794
06073006200,False,False,False,True,1,False,-0.5236682336308077,15939.97504179155
06073006300,False,False,False,False,0,False,-0.5236682336308077,30831.22677083632
06073006500,False,False,False,False,0,False,2.721564051701073,33908.37095315144
06073006600,False,False,False,False,0,False,-0.1208087315955241,27287.315110653413
06073006801,False,False,False,False,0,False,0.3206579308564866,28744.217899604024
06073006802,False,False,False,False,0,False,1.131784117702301,27257.53603763487
06073006900,False,False,False,False,0,False,-0.4500738879748505,28515.86756819753
06073007002,False,False,False,False,0,False,-0.5789888182317723,17416.297795821483
06073007100,False,False,False,False,0,False,-0.3604424959005909,11083.061871497943
06073007200,False,False,False,False,0,False,-0.8531778148728968,8774.0585878522
06073007302,False,False,False,False,0,False,-0.9531894461851914,15052.837091295925
06073007303,False,False,False,False,0,False,-0.3744424651861355,10063.686186835275
06073007304,False,False,False,False,0,False,0.5285604698866337,8004.506717569037
06073007401,False,False,False,False,0,False,0.613711790684122,14752.945069923217
06073007402,False,False,False,False,0,False,-0.1337260203483475,15400.01509343111
06073007501,False,False,False,False,0,False,0.6990417013639695,13931.018629159313
06073007502,False,False,False,False,0,False,0.4725288309113053,8561.79751365695
06073007601,False,False,True,True,2,False,0.5516323285655766,4887.967971239168
06073007602,True,False,True,True,3,True,0.879695363291029,3118.6825123895937
06073007701,False,False,False,False,0,False,-0.1173588606633176,12883.161499963575
06073007702,False,False,False,False,0,False,-0.0337711852129732,12861.143124508757
06073007800,False,False,False,False,0,False,0.1503857772545698,13040.785449006364
06073007905,False,False,False,False,0,False,0.3555184298434868,12429.528884423175
06073007907,False,False,False,False,0,False,0.3310415734219054,14124.198576945011
06073007908,False,False,False,False,0,False,0.2338093626724554,13191.4722229107
06073007910,False,False,False,False,0,False,0.255800528933136,11156.795336812631
06073007911,False,False,False,False,0,False,0.4770036234770701,11758.322955287691
06073007912,False,False,False,False,0,False,-0.0028066363250097,11591.02866135369
06073008002,False,False,False,False,0,False,-0.9254172360063057,11522.428371736118
06073008003,False,False,False,False,0,False,-0.4069401887661851,12710.372968966954
06073008006,False,False,False,False,0,False,-0.3724097213670298,10892.550583776625
06073008101,False,False,False,False,0,False,-0.0222759993845654,11049.911562930109
06073008102,False,False,False,False,0,False,-0.9065899455858508,11936.578406277516
06073008201,False,False,False,False,0,False,-0.0043278823116396,10119.173038594243
06073008202,False,False,False,False,0,False,2.434332382523154,8998.226559975703
06073008301,False,False,False,False,0,False,-1.2584240592448006,5852.5436421092445
06073008303,False,False,False,False,0,False,-1.0410175036061953,7903.563431803421
06073008305,False,False,False,False,0,False,0.313179794634533,59705.58513722046
06073008306,True,True,False,False,2,False,-1.08869080123739,3399.7886793165085
06073008307,False,False,False,False,0,False,0.0008927207087381,26649.506126527744
06073008310,False,False,True,False,1,False,-0.6250915543220728,5854.640095246057
06073008311,False,False,False,False,0,False,-1.3997580933262377,7919.977591240584
06073008312,False,False,False,True,1,False,-0.4293613877056894,37690.72151971077
06073008313,False,False,False,True,1,False,-1.0615035696949884,33571.731692912756
06073008324,False,False,False,False,0,False,-0.9172053514699048,14956.293366006277
06073008327,False,False,False,False,0,False,-0.8399619892647144,16142.436725172935
06073008328,True,False,True,True,3,True,-1.3335094072813949,937.923254000048
06073008330,False,False,False,False,0,False,-0.6308629740632714,17130.035953020113
