GEOID,det_jobs,exceedance_prob,disadvantage_z,det_desert,bayes_desert,classification
06073009704,3239.0,0.99528125,-0.1087675787794107,True,True,TP
06073009705,3486.0,0.99028125,-0.5951862997711812,True,True,TP
06073009706,2629.0,0.9995625,-0.225027830996964,True,True,TP
06073009801,8960.0,9.375e-05,-0.3321784066576881,False,False,TN
06073009802,16822.0,0.0,0.1194425578956844,False,False,TN
06073009804,4080.0,0.877,-0.4697618175258455,True,True,TP
06073009805,405.0,1.0,-0.1986965729247281,True,True,TP
06073009901,362.0,1.0,-0.5236682336308077,True,True,TP
06073009902,4659.0,0.37075,0.0,False,False,TN
06073010001,14764.0,0.0,-0.0309601657222379,False,False,TN
06073010003,3789.0,0.9639375,0.2111664434719952,True,True,TP
06073010004,4312.0,0.68959375,-0.0891150675051168,True,True,TP
06073010005,5571.0,0.00659375,1.7482325491284785,False,False,TN
06073010009,4134.0,0.845375,0.4027390851103118,True,True,TP
06073010010,8411.0,3.125e-05,0.789888497901342,False,False,TN
06073010011,8026.0,9.375e-05,-0.2230097134999073,False,False,TN
06073010012,7794.0,0.00021875,0.5488821703308058,False,False,TN
06073010013,7165.0,0.0003125,0.5459329137142824,False,False,TN
06073010015,12800.0,0.0,-0.4354881846691845,False,False,TN
06073010016,3076.0,0.99903125,-0.5236682336308077,True,True,TP
06073010017,2288.0,0.998625,-0.1394989525591674,True,True,TP
06073010018,2288.0,0.999625,-0.5908266039180824,True,True,TP
06073010019,549.0,1.0,-0.5169517148073975,True,True,TP
06073010103,3780.0,0.967625,1.2548984739588442,True,True,TP
06073010104,1721.0,0.99996875,-0.1286864361683089,True,True,TP
06073010106,8077.0,0.000125,1.4659128319758503,False,False,TN
06073010107,9502.0,0.00021875,-0.1022537305925205,False,False,TN
06073010109,893.0,1.0,-0.1997638526127572,True,True,TP
06073010110,4116.0,0.8479375,0.863940947096081,True,True,TP
06073010111,9061.0,0.000125,0.6414534088844978,False,False,TN
06073010112,4004.0,0.9021875,1.1293577081466502,True,True,TP
06073010201,623.0,1.0,0.9481295092068492,True,True,TP
06073010202,3780.0,0.965375,0.0370609090444649,True,True,TP
06073010300,4545.0,0.3590625,0.9285440407741652,False,False,TN
06073010401,5038.0,0.048375,0.1932213819686732,False,False,TN
06073010402,4860.0,0.09484375,1.011063454087669,False,False,TN
06073010501,3780.0,0.96778125,-0.1252479150110548,True,True,TP
06073010502,4273.0,0.70915625,0.849586431717221,True,True,TP
06073010601,310.0,1.0,-1.0614093515217984,True,True,TP
06073010800,5815.0,0.00553125,-0.331364850442566,False,False,TN
06073010900,5483.0,0.015375,-0.933653095564708,False,False,TN
06073011000,5815.0,0.004875,-0.2969312095542413,False,False,TN
06073011100,5815.0,0.004875,-0.0556132765123359,False,False,TN
06073011300,5231.0,0.041,-0.8783145859473563,False,False,TN
06073011601,24985.0,0.0,0.740991996317018,False,False,TN
06073011602,24354.0,0.0,0.82144158401477,False,False,TN
06073011700,24350.0,0.0,1.1786312910930334,False,False,TN
06073011801,25659.0,0.0,1.06499459160533,False,False,TN
06073011802,16627.0,0.0,0.7701920656149083,False,False,TN
06073011902,13565.0,0.0,0.6966612055523481,False,False,TN
06073012002,13127.0,0.0,2.178628191165715,False,False,TN
06073012003,12080.0,0.0,0.0282807418794155,False,False,TN
06073012101,15179.0,0.0,0.3201962119980954,False,False,TN
06073012102,14046.0,0.0,0.8568527050276109,False,False,TN
06073012200,7842.0,0.000125,0.5562854105649757,False,False,TN
06073012302,20274.0,0.0,1.712331055532892,False,False,TN
06073012303,13928.0,0.0,0.713832338095772,False,False,TN
06073012304,18066.0,0.0,0.4035546868615536,False,False,TN
06073012401,17760.0,0.0,0.183100792657309,False,False,TN
06073012402,19641.0,0.0,0.6499977356884921,False,False,TN
06073012501,25547.0,0.0,1.9711206320553287,False,False,TN
06073012502,9041.0,0.000125,0.7084391150634978,False,False,TN
06073012600,13019.0,0.0,0.475317189961545,False,False,TN
06073012700,27763.0,0.0,1.0294136680334882,False,False,TN
06073012800,20159.0,0.0,0.3600706178165711,False,False,TN
06073012900,20615.0,0.0,-0.24004026942706,False,False,TN
06073013000,25517.0,0.0,0.6867730795167798,False,False,TN
06073013102,20286.0,0.0,0.4924112008364218,False,False,TN
06073013103,22413.0,0.0,0.5883439119045519,False,False,TN
06073013104,24406.0,0.0,0.5831582027549915,False,False,TN
06073013203,19099.0,0.0,1.244196682357928,False,False,TN
06073013204,14537.0,0.0,0.4963454576806509,False,False,TN
06073013205,12942.0,3.125e-05,0.494976978672007,False,False,TN
06073013206,17349.0,0.0,1.3078145143875972,False,False,TN
06073013301,11876.0,0.0,0.0302299952995572,False,False,TN
06073013302,11023.0,0.0,-0.1718510710794364,False,False,TN
06073013303,10946.0,3.125e-05,0.2404211160702324,False,False,TN
06073013306,4402.0,0.567,0.3267956364116827,True,True,TP
06073013307,925.0,1.0,0.6121646985981926,True,True,TP
06073013308,5946.0,0.00403125,0.0786802280575917,False,False,TN
06073013309,10364.0,6.25e-05,-0.5858356997721289,False,False,TN
06073013312,6440.0,0.00128125,0.4408384422328084,False,False,TN
06073013315,8149.0,0.00015625,-0.4184011017697265,False,False,TN
06073013316,10441.0,0.0,-0.4526389172723733,False,False,TN
06073013317,4467.0,0.49978125,-0.4757439915294281,True,False,FP
06073013318,7963.0,0.00015625,-0.6942509557251677,False,False,TN
06073013319,5688.0,0.00915625,-0.4443210695475888,False,False,TN
06073013320,136.0,0.99996875,-0.4090360707420991,True,True,TP
06073013321,4736.0,0.18875,-0.4280556418546267,False,False,TN
06073013322,7648.0,0.0005625,-0.9743829013259124,False,False,TN
06073013323,5668.0,0.0091875,-0.8123337134235878,False,False,TN
06073013324,5461.0,0.0130625,-0.6604257501911861,False,False,TN
06073013325,6286.0,0.00171875,0.3590157259526856,False,False,TN
06073013326,9050.0,9.375e-05,-1.0578123052297332,False,False,TN
06073013327,7220.0,0.0001875,-0.1551772953072747,False,False,TN
06073013401,13009.0,0.0,-0.4050124068662324,False,False,TN
06073013409,11662.0,3.125e-05,-0.2661536372552042,False,False,TN
06073013411,3200.0,0.9964375,-0.6658585014237673,True,True,TP
06073013412,6976.0,0.00103125,-0.3723106065078605,False,False,TN
06073013414,10665.0,3.125e-05,-0.3703409510184549,False,False,TN
06073013415,7138.0,0.000875,-0.7586068985789111,False,False,TN
06073013416,4723.0,0.203,-0.5571530847711564,False,False,TN
06073013417,6526.0,0.00178125,-0.6186156911987125,False,False,TN
06073013418,9646.0,3.125e-05,0.3245680449637392,False,False,TN
06073013420,6875.0,0.00103125,-0.1537957845856626,False,False,TN
06073013421,7910.0,0.00015625,-0.4668753284260155,False,False,TN
06073013422,949.0,1.0,-0.6342239823182487,True,True,TP
06073013423,178.0,1.0,-0.5916791264801161,True,True,TP
06073013424,8305.0,6.25e-05,-0.7768484882870424,False,False,TN
06073013425,5542.0,0.01434375,-1.05250743222512,False,False,TN
06073013503,3700.0,0.9765,0.1213423618252318,True,True,TP
06073013504,2408.0,0.99953125,-0.6377479297244611,True,True,TP
06073013505,4208.0,0.79021875,0.1072896174262101,True,True,TP
06073013506,1649.0,0.99990625,0.0785676270225487,True,True,TP
06073013601,3334.0,0.99365625,0.1080756399289191,True,True,TP
06073013604,2165.0,0.999875,-0.2073476916739647,True,True,TP
06073013605,2540.0,0.9994375,-0.696758417240488,True,True,TP
06073013607,4012.0,0.91559375,-0.0185375208672137,True,True,TP
06073013608,3683.0,0.9735625,1.301076935118725,True,True,TP
06073013701,6399.0,0.00171875,0.2254371234249152,False,False,TN
06073013702,10450.0,3.125e-05,-0.0094160918945048,False,False,TN
06073013801,10301.0,0.0,0.8484483295513486,False,False,TN
06073013802,8743.0,6.25e-05,0.2681715865296701,False,False,TN
06073013903,2969.0,0.99821875,-0.0374713519008668,True,True,TP
